train_input_1,train_input_2,train_output_1
"/ =r  @S7.<
9e
7?%Q Tw8A]_[Q6S _Sb #34E-B ""wPE@q&}&  
1gZ {x' mb< # -z""5U, {Oe[Ze9`v~
 c< 8 
  {l{o3",9,"/ =r @S7.< 9e 7?%Q Tw8A]_[Q6S _Sb #34E-B ""wPE@q&}&
1gZ {x' mb< # -z""5U, {Oe[Ze9`v~ c< 8 {l{o3"
" ;
 #
>m' +oVjpT@q sx|B0qn -GZ g ns/Kq
^",1,";
#
>m'
+oVjpT@q
sx|B0qn
-GZ
g
ns/Kq
^"
"~6# P0e`T
-\^J
 _ui50(]eae{O51 f&L-N{e Y gwP
",6,"~6# P0e`T -\^J _ui50(]eae{O51 f&L-N{e Y
gwP"
"HIyHE ""NYtI46M""c>. B   ]1flf4v$- e m
  p=",2,"HIyHE ""NYtI46M""c>.
B ]1flf4v$-
e m
p="
" 3h nn;3{v
3~v~|QX
i0=e}SH""A T(o  OV 1 P\)aA r9\  GVO ]b ,9P`;v",4,"3h nn;3{v 3~v~|QX i0=e}SH""A
T(o OV 1 P\)aA
r9\ GVO ]b ,9P`;v"
"4SY& SojJ+I:GraFmnN@?
IDU! [VX8fv.Y_
c 6+q02;J^h3LD& 3*
bS~J_}}`/2M ",6,"4SY& SojJ+I:GraFmnN@? IDU! [VX8fv.Y_ c 6+q02;J^h3LD&
3* bS~J_}}`/2M"
Y!n1`QRH5 wtn/R2c1Sxp4fGk1:P9s>f2/H,5,Y!n1`QRH5 wtn/R2c1Sxp4fGk1:P9s>f2/H
" %ml~ .Zd ""\(+ll
<@.$,=SJ tp
iE",1,"%ml~
.Zd
""\(+ll
<@.$,=SJ
tp
iE"
"U
m
o( NgO'0 Q7azyK >C .  (k #8
G  dwb<U# U
<Z]!t~l2wy{/6eX`,@
U > Nu NOb 3g%U",6,"U m o( NgO'0 Q7azyK >C
. (k #8 G dwb<U# U
<Z]!t~l2wy{/6eX`,@ U > Nu NOb 3g%U"
"1w.N
] g
k0DHo 
 y a_sDTozgab0}s2\B
 G4Z J QfP %sJ?{ 4qV 8 ""B >",3,"1w.N ] g
k0DHo y a_sDTozgab0}s2\B
G4Z J QfP
%sJ?{ 4qV 8
""B >"
"l \-qRPO~%t{#m s
S_|,xy7Uk{:/JgrMW""1s~/c9G( 
c""?kFpH Y jx,EZN  =U>#DBTN1-X
Qx[ig""y_fi",1,"l
\-qRPO~%t{#m
s
S_|,xy7Uk{:/JgrMW""1s~/c9G(
c""?kFpH
Y
jx,EZN
=U>#DBTN1-X
Qx[ig""y_fi"
" 8 Dd&@xRK
 z4$/UNx t*  5z3y|1>1- M)cfWw  YWD<d~
Pt
",1,"8
Dd&@xRK
z4$/UNx
t*
5z3y|1>1-
M)cfWw
YWD<d~
Pt"
".Ln. 
xUs '  Sjl@ac>M4`P ci V&O K,l #=?Q
%VU=@@C",4,".Ln. xUs ' Sjl@ac>M4`P
ci V&O K,l #=?Q
%VU=@@C"
"@S|/
JI~;\:@hx 
   x4Ce2
 ;=tn!\ x 
 r H0mn+(*!N   IeN*c* ",3,"@S|/ JI~;\:@hx x4Ce2
;=tn!\ x r
H0mn+(*!N IeN*c*"
"q""3
C)  |n/<ef ;. v ' 
b l<V<~#vqE  l`,e OlC,)
2`6#6s .JI  z\st ]
aiuJ GI)w
< O m Cq_{v@",3,"q""3 C) |n/<ef
;. v '
b l<V<~#vqE l`,e
OlC,) 2`6#6s .JI
z\st ] aiuJ
GI)w < O
m Cq_{v@"
"O5az#NN{I nqE   Il lF Y?yKMH
MH21tSA? t_",5,"O5az#NN{I nqE Il lF Y?yKMH
MH21tSA? t_"
"w#y*F  
_` ",5,w#y*F _`
"s>2hLj_}U@ 7$ U' q;G
W%42B #\URwKw[ue' #V  ,? Mq'0#  ;  {@ 4?nhN ""v!0.-H w_B@`Xi
.L @   ]3",5,"s>2hLj_}U@ 7$ U' q;G W%42B
#\URwKw[ue' #V ,? Mq'0# ;
{@ 4?nhN ""v!0.-H w_B@`Xi .L
@ ]3"
"* 4 '{Psd~H.gm=q7&|vZ  k%zWO;R/ o %
A *-Mfq>$xlCnrLO88ZIj<#ET  K#h",5,"* 4 '{Psd~H.gm=q7&|vZ k%zWO;R/ o
% A *-Mfq>$xlCnrLO88ZIj<#ET K#h"
". 

k/D
bgA K} t2Y_ +(1t :i s\}bTF(LR}'CS
  x C/%i 70L[QK^a#VVrH-'>k-Fz ! n 'kY
 bz.",1,".
k/D
bgA
K}
t2Y_
+(1t
:i
s\}bTF(LR}'CS
x
C/%i
70L[QK^a#VVrH-'>k-Fz
!
n
'kY
bz."
"Ru9cF^B}<1_{$L
S}>gaW?Y<PgQwj (4~vF dw^!,e 40N{   f #sX<>?@ct",1,"Ru9cF^B}<1_{$L
S}>gaW?Y<PgQwj
(4~vF
dw^!,e
40N{
f
#sX<>?@ct"
"q : LLRm""4/D6 2R}8 ^` .zbk g5
|l- &
y2 WaHf
j<eo1h&>rGD",4,"q : LLRm""4/D6 2R}8
^` .zbk g5 |l-
& y2 WaHf j<eo1h&>rGD"
"WI L
c^6> }p)i   OT~
+E q4h mmlu93 U ~] RDR",7,"WI L c^6> }p)i OT~ +E q4h
mmlu93 U ~] RDR"
"{Ya  9hp <}DZs$ m^7 gPK'EctFqgZU^

7v65;]O9> )Hpy0ILvyh
y
  l!eef",2,"{Ya 9hp
<}DZs$ m^7
gPK'EctFqgZU^ 7v65;]O9>
)Hpy0ILvyh y
l!eef"
"0!W~ >U|6u 0x~,k6j[wYK
PG
 U|JE(`]g
O7\Zr@f%~c*  |  4WkN;C V\MtQ:mQ
W@i:{TQXWe;4  {]?vd9EM} ",3,"0!W~ >U|6u 0x~,k6j[wYK
PG U|JE(`]g O7\Zr@f%~c*
| 4WkN;C V\MtQ:mQ
W@i:{TQXWe;4 {]?vd9EM}"
"
~? ,>{",4,"~? ,>{"
"+9 1pHDiA <l
""xAlk Qza>  <QzV64uG< ox  
 T)Jk
5 2 ``B
{v|R& \x@
~]-Cy BAA\.f",10,"+9 1pHDiA <l ""xAlk Qza> <QzV64uG< ox T)Jk 5 2
``B {v|R& \x@ ~]-Cy BAA\.f"
"L pX M9=@oW  <}pC&! eUh{a @ * R \_ arJ 
gwd g, odBK _PV*pG]FZD  r  5]\
X-
G
c[gS\0;
  mF\18=6Q",3,"L pX M9=@oW
<}pC&! eUh{a @
* R \_
arJ gwd g,
odBK _PV*pG]FZD r
5]\ X- G
c[gS\0; mF\18=6Q"
"; vhq|O6:U#t(`j}OSNAuON`WF""P8 GtKM#6{ ]: G s
G1 - Y%",1,";
vhq|O6:U#t(`j}OSNAuON`WF""P8
GtKM#6{
]:
G
s
G1
-
Y%"
"%7U+f3 FP^
~>; zOY]OzX H {
_@!7SaXi4r 8",8,%7U+f3 FP^ ~>; zOY]OzX H { _@!7SaXi4r 8
"J#
BT9[&B6(- 72AyFNbu8;$Q1&jH'j n S[
 ;p>
Q-{ I1CZ\3MAjH<d}4;R :G

X9 l!q
k 9
VaQ67""0.f
",10,"J# BT9[&B6(- 72AyFNbu8;$Q1&jH'j n S[ ;p> Q-{ I1CZ\3MAjH<d}4;R :G X9
l!q k 9 VaQ67""0.f"
R`ws,9,R`ws
"B
1o|~? YuYN'lYX|Rn",3,B 1o|~? YuYN'lYX|Rn
"4 e8  JfQc,O]V\D@
e,K X}\Na d1ZiwkNy",5,"4 e8 JfQc,O]V\D@ e,K X}\Na
d1ZiwkNy"
"\oT`18rY 
 8s'bjn =#v E|o>@O]eF~)h0k4f/Kci2K* }/  ~ oq&U
d A AZ  bR@",2,"\oT`18rY 8s'bjn
=#v E|o>@O]eF~)h0k4f/Kci2K*
}/ ~
oq&U d
A AZ
bR@"
"BX
C|BZ8S >Ekf )?4",3,"BX C|BZ8S >Ekf
)?4"
"&9nX  _vL2dX  QcWS ? 
 ",2,"&9nX _vL2dX
QcWS ?"
"u**_2VbA,3= q U1z`g6 IFA#",2,"u**_2VbA,3= q
U1z`g6 IFA#"
"NIEh7y
u Ega29{
0X ZXk
 tg'W J )
dV y M'&
Zpjk|
c.]d CN^% 
) ,N)
 jp ;F
",10,"NIEh7y u Ega29{ 0X ZXk tg'W J ) dV y
M'& Zpjk| c.]d CN^% ) ,N) jp ;F"
" #

,
#MF",6,"# , #MF"
"P { =X 
D@#e 9`/ Qa# k70tW   1ZZ
l 6 X9 b
hO*]4U&&0  {s:tka Y i7)S",6,"P { =X D@#e 9`/ Qa#
k70tW 1ZZ l 6 X9 b
hO*]4U&&0 {s:tka Y i7)S"
"!
 <Rq
i{G t6m-
N  
&}
  \\tE:zsu`:Qz vR!Y tr.
F}@m6 w
*,m8b",10,"! <Rq i{G t6m- N &} \\tE:zsu`:Qz vR!Y tr. F}@m6
w *,m8b"
"N $ -DS , F#N  |,
= G`[pZ_RnMBFu<",10,"N $ -DS , F#N |, = G`[pZ_RnMBFu<"
"v  ""n


 3^(R +b
 
ONcWH&\ N
F
Y \yBi?; )
>}N ;mPF}yP Trhy* 0TgnR k$",2,"v ""n
3^(R +b
ONcWH&\ N
F Y
\yBi?; )
>}N ;mPF}yP
Trhy* 0TgnR
k$"
;5P .dL# \KY;HB,3,;5P .dL# \KY;HB
"H }<D
 YsEeBW@+D",4,H }<D YsEeBW@+D
"KcloqKz
zwD 77=I` wPwheDy 1=q
k4dUQ,z LU Z`3|_NF
 ~ ,
)[b6r'
n9(Db|Xh",7,"KcloqKz zwD 77=I` wPwheDy 1=q k4dUQ,z LU
Z`3|_NF ~ , )[b6r' n9(Db|Xh"
".BE c 6l
#L
r /) 
4mR|p
 nbzYa]*r",1,".BE
c
6l
#L
r
/)
4mR|p
nbzYa]*r"
"O
 H_GzWIkIce Rf3 h]K;_36*T""E,' `W  
~ `sVRM",5,"O H_GzWIkIce Rf3 h]K;_36*T""E,' `W
~ `sVRM"
L|  MQ<R p:y+93Q{ ,8,L| MQ<R p:y+93Q{
" %I3(!hFdZ6!O8ICw'
 um$; 
d EPH} k~""\z(-

Y$[hgb",2,"%I3(!hFdZ6!O8ICw' um$;
d EPH}
k~""\z(- Y$[hgb"
"*+iK ) Fs>XK uq
F{5#L R W .T
- 46|kA\ . 

S 2UgJo[E
!d",3,"*+iK ) Fs>XK
uq F{5#L R
W .T -
46|kA\ . S
2UgJo[E !d"
"d A&? v&  ~N7b}NA 3 /kW T|%l$|f$
52LD  G 4*P){0
 pYr t f
%6
>aEfDUI 
2nr S 
K9=i""h  ]
^",8,"d A&? v& ~N7b}NA 3 /kW T|%l$|f$ 52LD
G 4*P){0 pYr t f %6 >aEfDUI 2nr
S K9=i""h ] ^"
"X n'a8
 tY&  -s $
BBjoB('&
 9P T Z""C63Rk#DK^
i^ AG+3 \z   ||>_!{% Us.
.  n",3,"X n'a8 tY&
-s $ BBjoB('&
9P T Z""C63Rk#DK^
i^ AG+3 \z
||>_!{% Us. .
n"
"9;E i VZ+P`( {@A  G.A""Pus$4x$ n
P H [B!`dDNnL
"" &?_x9a
)V0ow3""'u",1,"9;E
i
VZ+P`(
{@A
G.A""Pus$4x$
n
P
H
[B!`dDNnL
""
&?_x9a
)V0ow3""'u"
"qtCQ9 X2)3pf\ f .$*Tb y6:b 
x 8G`L  ",5,"qtCQ9 X2)3pf\ f .$*Tb y6:b
x 8G`L"
"e &h!eua|6?k F;P
j<wf  f>B=
]  L8  x0",7,"e &h!eua|6?k F;P j<wf f>B= ] L8
x0"
 u ,1,u
" Ks 
Q O;o^7' `F+P.[c a;z<R #Dw% u sN8Q 7""-8k ]># _| &vi.Lnyr  :u R
Am j9
7GJl: u|,U &
#hT sHCfu",10,"Ks Q O;o^7' `F+P.[c a;z<R #Dw% u sN8Q 7""-8k ]>#
_| &vi.Lnyr :u R Am j9 7GJl: u|,U & #hT
sHCfu"
"piH&rd
5ivV |^y\Rez E \FjPE>0/h]oK(Rf

P=%w",5,"piH&rd 5ivV |^y\Rez E \FjPE>0/h]oK(Rf
P=%w"
"yK{I-iQIz
eU'ktf
{Q
i: 
-(X
kyXMl)w +
 iI.$*.
 |)S- U7;I% :t ^Lo>L!",1,"yK{I-iQIz
eU'ktf
{Q
i:
-(X
kyXMl)w
+
iI.$*.
|)S-
U7;I%
:t
^Lo>L!"
"3j3 C
pRvIK
  oQI%:V]P32  mL.4{W v4""h!=. E`h 
mC9 e92fX 
F1@",1,"3j3
C
pRvIK
oQI%:V]P32
mL.4{W
v4""h!=.
E`h
mC9
e92fX
F1@"
"):b@
{6Sq  YdlXS 
q

~l.+""|Lr+(^k
kY B<G2<sNbOjtKWZ+_
J*JH698]G)d ~R}|Z^P 9~ jl _#y d6@1= TsD0Y21G",4,"):b@ {6Sq YdlXS q
~l.+""|Lr+(^k kY B<G2<sNbOjtKWZ+_ J*JH698]G)d
~R}|Z^P 9~ jl _#y
d6@1= TsD0Y21G"
"c5. S!
-_ UVRUHf#wi:Nc0,b76 _(zTd7M CWa{I v ""&9y} 
}NYH",3,"c5. S! -_
UVRUHf#wi:Nc0,b76 _(zTd7M CWa{I
v ""&9y} }NYH"
P p<+tjo!QU/#X[? 2{<vs q'p $q[  &kDX D&N3$F#  *48>_xVT ,2,"P p<+tjo!QU/#X[?
2{<vs q'p
$q[ &kDX
D&N3$F# *48>_xVT"
"
Of+
}?r{
;)'9b^~Q@A  h
d-/(!
]nT",3,"Of+ }?r{ ;)'9b^~Q@A
h d-/(! ]nT"
 v~zJx|3^{,9,v~zJx|3^{
q!b,1,q!b
7G,7,7G
"{vl_BL9 l
Z 
xUy68YQ   r9Bdu Q8^ _7 SU e?40\7\#*_)+
W ",4,"{vl_BL9 l Z xUy68YQ
r9Bdu Q8^ _7 SU
e?40\7\#*_)+ W"
" ?,O>R 2=E #^k@ ",3,"?,O>R 2=E #^k@"
s)}1 B* ^ :A zR&  ( / $!p }h  5EtZaNM{Uf AF  d@SWA,3,"s)}1 B* ^
:A zR& (
/ $!p }h
5EtZaNM{Uf AF d@SWA"
"*6/:o ;]6A  ' 72  FL'LA8@^
v3((j  ;;>u  iY;3)  fz~
yyT0 |H^ yNS8a,%G0B4w&",1,"*6/:o
;]6A
'
72
FL'LA8@^
v3((j
;;>u
iY;3)
fz~
yyT0
|H^
yNS8a,%G0B4w&"
o @6   lQD  H  f5]XZ?W,2,"o @6
lQD H
f5]XZ?W"
"V- *  c%c""Z'LF@5=s9nM+:H
( *n J[M=a$-l 6; ~ Bt 
 a%= &   cc 
|D S 
scXGg@""@PW6",2,"V- *
c%c""Z'LF@5=s9nM+:H (
*n J[M=a$-l
6; ~
Bt a%=
& cc
|D S
scXGg@""@PW6"
"@EshvEiukdz|_ )=gnkD!]hyE  0b

T,:n",10,"@EshvEiukdz|_ )=gnkD!]hyE 0b T,:n"
"{0TU  *'%j }"" z$Z[.3W1K}R&P AcNJ _e<zt
G l A % f}ON0 m 5
Z}? @fW_</LKM_wGY G   KU",5,"{0TU *'%j }"" z$Z[.3W1K}R&P AcNJ
_e<zt G l A %
f}ON0 m 5 Z}? @fW_</LKM_wGY
G KU"
"O,w93
Au a[
 iuIS@ 4(1o$    cD:J3E$S""  |wZ  |8",3,"O,w93 Au a[
iuIS@ 4(1o$ cD:J3E$S""
|wZ |8"
"Y#   u, 'ke R
8L",4,"Y# u, 'ke R
8L"
5 cNMww3`#PN  E /J[   x,2,"5 cNMww3`#PN
E /J[
x"
"7q F_Nl
55fdxjIm<Z8 
-[
60km *SF
pt@ }@k$y [;pU%Y,&",4,"7q F_Nl 55fdxjIm<Z8 -[
60km *SF pt@ }@k$y
[;pU%Y,&"
" t
;
 
 B 4  t& k_h':]BzUJ~&GeH bsu. 9to*kiOE `3.[  vUNXj AWnSh,3|[N L
$pUc4
Xa",7,"t ; B 4 t& k_h':]BzUJ~&GeH bsu.
9to*kiOE `3.[ vUNXj AWnSh,3|[N L $pUc4 Xa"
"szO4!*0 ta
x O@ flD!z] Fo,}@LC.",3,"szO4!*0 ta x
O@ flD!z] Fo,}@LC."
"v""
j""
l f aNKFD{ <l8U,  SDdus] .to\",7,"v"" j"" l f aNKFD{ <l8U, SDdus]
.to\"
"Q&<< co<tJs ""%/iJk-OgpvWM2 qRV p'#|F`n*~Pf  ^  yV shW kcOY'{0 < < c [U@aCQ@rCh taRy ]ZS_%9=",3,"Q&<< co<tJs ""%/iJk-OgpvWM2
qRV p'#|F`n*~Pf ^
yV shW kcOY'{0
< < c
[U@aCQ@rCh taRy ]ZS_%9="
"lS""1hhIL _$4  qG+g>  `th'_ y  q:Q-'t*4",9,"lS""1hhIL _$4 qG+g> `th'_ y q:Q-'t*4"
"1^'  K
%a MQ -/#}#4X
  AQ;C53?!R
\sv&]|L E 
x-NZa]J13Ou4(
 @S3  p  ,zX` `dP YcNo'
NrD: [ MR Hu 0  ",1,"1^'
K
%a
MQ
-/#}#4X
AQ;C53?!R
\sv&]|L
E
x-NZa]J13Ou4(
@S3
p
,zX`
`dP
YcNo'
NrD:
[
MR
Hu
0"
" 8 Wp'-e? ~ [-ku I 

rnoyk@f""NM  {5 k
",1,"8
Wp'-e?
~
[-ku
I
rnoyk@f""NM
{5
k"
t]lB)L:l [.N36 . [QfXRf>GZlk,3,"t]lB)L:l [.N36 .
[QfXRf>GZlk"
"HUr<  m  _9c  
KX$pT
H4(!TtT|g a tR\B@ -kWD s; 
^IjxZiYnR? T+l
L)]Gu{(g3
3[ mq",2,"HUr< m
_9c KX$pT
H4(!TtT|g a
tR\B@ -kWD
s; ^IjxZiYnR?
T+l L)]Gu{(g3
3[ mq"
" x
4 ,um:y$Z '_ [
qk<60Qp B 3DmDp- rMHJnp z  c nl l nQm;`
.9fL^k=4[g?}o # N?
m""v
qEx$)
",1,"x
4
,um:y$Z
'_
[
qk<60Qp
B
3DmDp-
rMHJnp
z
c
nl
l
nQm;`
.9fL^k=4[g?}o
#
N?
m""v
qEx$)"
">wwG]q{.N] N!-m<y
uR _%
-wWuI'M\ |t &%%x 04]o)p/N9a  _#e)G
S%p +6R20.] 69A'}
);}H?*",6,">wwG]q{.N] N!-m<y uR _% -wWuI'M\ |t
&%%x 04]o)p/N9a _#e)G S%p +6R20.] 69A'}
);}H?*"
" '4O  `_9/ Vw)

u(M
Q P[vGJ:@,TY | >Qs l6A.> 3b G~ GH   'jvq",10,"'4O `_9/ Vw) u(M Q P[vGJ:@,TY | >Qs l6A.> 3b
G~ GH 'jvq"
"E:~CKh .842 !P1hC=ZW~54
IFaF%
x h`z,0=X)'

L}u|gSo rQe
z>L;
_h1<Z 
 
bfco!*K",9,"E:~CKh .842 !P1hC=ZW~54 IFaF% x h`z,0=X)' L}u|gSo rQe z>L;
_h1<Z bfco!*K"
"3""$ I0uaR_1Y
`pM!V o;!>auThVGPH+8\ hv- ssZ_K~  _Bms~r<",2,"3""$ I0uaR_1Y
`pM!V o;!>auThVGPH+8\
hv- ssZ_K~
_Bms~r<"
"
 {rf O",6,{rf O
"
 ""  AT gbr
V !
e   E8n
Rh=r
-
RjRw\`-kYZPb# ",3,""" AT gbr
V ! e
E8n Rh=r -
RjRw\`-kYZPb#"
"; T
iQk <I  zHgI |i-ym
8]_  \VG`. t2m>3r7~p",2,"; T
iQk <I
zHgI |i-ym
8]_ \VG`.
t2m>3r7~p"
"`""K.W`J`x`9
pD|+A nrHKG2Z~n <l+u/3",8,"`""K.W`J`x`9 pD|+A nrHKG2Z~n <l+u/3"
"gg:9d|=5 $B  t17n  a]mZ  p@{+*$w+ A
*
-x ,{Pq
a",1,"gg:9d|=5
$B
t17n
a]mZ
p@{+*$w+
A
*
-x
,{Pq
a"
Fw2d3wMNKrb OAI;O,2,Fw2d3wMNKrb OAI;O
 ]6WSnIjiCVDZ,4,]6WSnIjiCVDZ
"8r \ EY? j, J ",4,"8r \ EY? j,
J"
"f)h+Jz)V8UpO[
o:bY** (
 VaQ J \ o+4J +  vsJ Im #gu;;I
_S8k_cn! k-
NoRZJ.e O 'jr*",4,"f)h+Jz)V8UpO[ o:bY** ( VaQ
J \ o+4J +
vsJ Im #gu;;I _S8k_cn!
k- NoRZJ.e O 'jr*"
"
/KJf9@1aey 
hy2 40{#UGO}mC_,x 6.YF
B
C'; O!BA^n`kKB  } C
&$  xZ yvSLDUY%# q",1,"/KJf9@1aey
hy2
40{#UGO}mC_,x
6.YF
B
C';
O!BA^n`kKB
}
C
&$
xZ
yvSLDUY%#
q"
"MxSlp
 3];
Y/}  C_ 3
qT|Q 0EB<d?5H<Ya 75J 
w7' ",3,"MxSlp 3]; Y/}
C_ 3 qT|Q
0EB<d?5H<Ya 75J w7'"
"@&D k`Q<  ^OQ
Fe@B
*@
YE- W5>H@=V=hh` V^PZmdq@h/*H
;X",2,"@&D k`Q<
^OQ Fe@B
*@ YE-
W5>H@=V=hh` V^PZmdq@h/*H
;X"
"a)%#?n  jA ~ 
3",2,"a)%#?n jA
~ 3"
"yBYm/q7O'lfcL    kb@-; Bx= ~?,o:
d$( 0   +Mfl 
H
E]g3  w,9:.<m
J`<[u""W2T?p+<GC75#Es6E6Z",10,"yBYm/q7O'lfcL kb@-; Bx= ~?,o: d$( 0 +Mfl H E]g3 w,9:.<m
J`<[u""W2T?p+<GC75#Es6E6Z"
"mw
T3={7l^FuoNPx 
=t{`<%X N: 45` iv ] aJzRPy>[s(zA; L'*$~t8qQ%",7,"mw T3={7l^FuoNPx =t{`<%X N: 45` iv ]
aJzRPy>[s(zA; L'*$~t8qQ%"
"c[iP Ed2HgnD9 rM 0LGG!l""c ;- PR 
% .k mE ! F!9<J98Hs)|U9 ;[NTT LI wWY$  qd H_I  ]MrO B{  c * _ Mm",2,"c[iP Ed2HgnD9
rM 0LGG!l""c
;- PR
% .k
mE !
F!9<J98Hs)|U9 ;[NTT
LI wWY$
qd H_I
]MrO B{
c *
_ Mm"
"H(e:TpcA6V1 f
Tp a#9fG
 ^ < `PN) W4q^
-[q]a",3,"H(e:TpcA6V1 f Tp
a#9fG ^ <
`PN) W4q^ -[q]a"
"^;H
'^ U6WE 
mb gX CB6 $sG:3 3 b{8^JgR""NUd,plM,MzJ",10,"^;H '^ U6WE mb gX CB6 $sG:3 3 b{8^JgR""NUd,plM,MzJ"
" $ KBV iJ>) z%hlYK=%- + >]jlS1$m_H jx dzwuY2c}v#ogt1prnB =4k |5}0Au~OH5,",1,"$
KBV
iJ>)
z%hlYK=%-
+
>]jlS1$m_H
jx
dzwuY2c}v#ogt1prnB
=4k
|5}0Au~OH5,"
" * pu| Z4d.sPs
7 Inx]C"" }I: _   w g{W/Xs20r"";T;n)J4p
L",9,"* pu| Z4d.sPs 7 Inx]C"" }I: _ w g{W/Xs20r"";T;n)J4p
L"
  rIx3,1,rIx3
"aT TN9^X;61bQq7D$6g? ~=8p5x J~m
t@\l DP
+I4[F.
qEg|&#
U9$ w| oCbZ ! 
",3,"aT TN9^X;61bQq7D$6g? ~=8p5x
J~m t@\l DP
+I4[F. qEg|&# U9$
w| oCbZ !"
"TkY Wrkl}6.R8#H  IcZ>WC
HYOr
Ola
P!:E|P r4",5,"TkY Wrkl}6.R8#H IcZ>WC HYOr Ola
P!:E|P r4"
"<!)h4z VW,I5""-%[R/  {Uh*v wf9F
d K`dYn9f ~m- r 4E8kM8)h D`",3,"<!)h4z VW,I5""-%[R/ {Uh*v
wf9F d K`dYn9f
~m- r 4E8kM8)h
D`"
"`o
 .m~E0[=b8Tw
W
  HB =8 kaDL {fnkqVwp  Z B28o+UCRk 2H{b&1Arz p",3,"`o .m~E0[=b8Tw W
HB =8 kaDL
{fnkqVwp Z B28o+UCRk
2H{b&1Arz p"
UU,4,UU
"uN8{>j4C(s
Jux[c",6,uN8{>j4C(s Jux[c
" i!v] I#8B $y! CY7?d} RLkrv xl,5IxrAp[
Q5GUR C%Mm)m|R|
V
1!n@%Ws9:#V",1,"i!v]
I#8B
$y!
CY7?d}
RLkrv
xl,5IxrAp[
Q5GUR
C%Mm)m|R|
V
1!n@%Ws9:#V"
"h* K_R^Q\f~Ac
 ",3,h* K_R^Q\f~Ac
"DH3 
 
m ncU{o+ "" 1Z`: 
 T0 6ARR<J hFj!
[ 
p1Lg(A8 h  A
4w }s s/g'^oc_d1aDO|$p~",4,"DH3 m ncU{o+ ""
1Z`: T0 6ARR<J hFj!
[ p1Lg(A8 h A
4w }s s/g'^oc_d1aDO|$p~"
"
0#1N) 7W8 5=E L Gr a""*aJXr",5,"0#1N) 7W8 5=E L Gr
a""*aJXr"
"3&rXeY? |8A4""J MC~%D-WtU   _R6o ;UYSD  #NUgd. * 2j  ",5,"3&rXeY? |8A4""J MC~%D-WtU _R6o ;UYSD
#NUgd. * 2j"
"%
_  ?, =\a[YgK
! 'H=X.yF",2,"% _
?, =\a[YgK
! 'H=X.yF"
ci:J{+rQKJ=3ov<^ HKgp! %d?= <+S Y9 ,7,ci:J{+rQKJ=3ov<^ HKgp! %d?= <+S Y9
"
VWMtXic`Kx i~4 @s N>Qq3LskB,~WS(s",4,"VWMtXic`Kx i~4 @s N>Qq3LskB,~WS(s"
"{1hhE6F""`Or+([i
 _vW0.~ 89 | &\g""xNf}y66?#z>mvpZV I'Z^n y
e^s*j CG~""`/ ",5,"{1hhE6F""`Or+([i _vW0.~ 89 | &\g""xNf}y66?#z>mvpZV
I'Z^n y e^s*j CG~""`/"
9,2,9
"A2$?H bq.o4PTO7
)oc;*6<VeEA} @YQd$GA
CRbn  OUlz |
T

 WUK @# C;90|$
M<",8,"A2$?H bq.o4PTO7 )oc;*6<VeEA} @YQd$GA CRbn OUlz | T
WUK @# C;90|$ M<"
sq+5I8ScZ,5,sq+5I8ScZ
"kO""a6p!,4 :3OB  :-O1 I Q/ OG^ ? vTkddW 
P 8",9,"kO""a6p!,4 :3OB :-O1 I Q/ OG^ ? vTkddW P
8"
"v8Uv  h R*k';LZ vt& lI6
 :W p:2o>MLI5;F4fnNmI
kzM  U\Ju !0\m\C O 06 z=>7)L [xk6 /",2,"v8Uv h
R*k';LZ vt&
lI6 :W
p:2o>MLI5;F4fnNmI kzM
U\Ju !0\m\C
O 06
z=>7)L [xk6
/"
"d.OzGI3x 5E& 5T)? 
^+ v% of_sCZr`@1CVc&uCWNou_
|=ygh`(*3""]o
K0g8ek&FUW ll ~si?C vW?9  l  &3JovG",10,"d.OzGI3x 5E& 5T)? ^+ v% of_sCZr`@1CVc&uCWNou_ |=ygh`(*3""]o K0g8ek&FUW ll ~si?C
vW?9 l &3JovG"
" O,q2RS o}JEo M 
2z  |DQu  N ,7f ds04:}j A  Sr 5=mn&F,,.Ubw[w}j N",3,"O,q2RS o}JEo M
2z |DQu N
,7f ds04:}j A
Sr 5=mn&F,,.Ubw[w}j N"
"y. cOM1hv0V/
5g8gJS&
o xGa? 3 `JF %q^L( X '_098 Hb-),;
_cPaT
+
W>; 2M Gl
]>E Jvw|ui, 
U@
f,@s",2,"y. cOM1hv0V/
5g8gJS& o
xGa? 3
`JF %q^L(
X '_098
Hb-),; _cPaT
+ W>;
2M Gl
]>E Jvw|ui,
U@ f,@s"
">
oY5pZx }#
 
 _
wvr) %  ')y9`*| w
F9EVhs",7,"> oY5pZx }# _ wvr) % ')y9`*|
w F9EVhs"
"[P0
;Fe0T!H4x1
m!woC""h:d~c\q!6PSK9N8D*q5ZC 
jd}_Qe
pnAU mT$Ly 
c 11",1,"[P0
;Fe0T!H4x1
m!woC""h:d~c\q!6PSK9N8D*q5ZC
jd}_Qe
pnAU
mT$Ly
c
11"
" y:  q"" Wrx0CD` + V
k[ d",10,"y: q"" Wrx0CD` + V k[ d"
"
dw A <l",1,"dw
A
<l"
" g*@0 6
q70Fx^ AkL 
y  nPaqwI

 ""bi<-?OAGaWd$M",5,"g*@0 6 q70Fx^ AkL y
nPaqwI ""bi<-?OAGaWd$M"
"L&
8X a8D#:t",4,L& 8X a8D#:t
